date,datetime,cash_type,card,money,coffee_name
12/03/2024,11:20:46 AM,card,ANON-0000-0000-0049,38.7,Hot Chocolate
12/03/2024,12:46:23 PM,card,ANON-0000-0000-0004,33.8,Americano with Milk
12/03/2024,12:47:26 PM,card,ANON-0000-0000-0004,28.9,Americano
12/03/2024,4:15:43 PM,card,ANON-0000-0000-0050,28.9,Americano
13/03/2024,11:06:43 AM,card,ANON-0000-0000-0048,38.7,Hot Chocolate
13/03/2024,11:48:17 AM,card,ANON-0000-0000-0004,28.9,Americano
13/03/2024,12:18:06 PM,card,ANON-0000-0000-0051,28.9,Americano
13/03/2024,12:19:05 PM,card,ANON-0000-0000-0051,28.9,Americano
13/03/2024,12:34:30 PM,cash,,25,Espresso
13/03/2024,2:26:41 PM,card,ANON-0000-0000-0052,33.8,Americano with Milk
13/03/2024,3:40:22 PM,card,ANON-0000-0000-0053,24,Espresso
13/03/2024,3:41:20 PM,card,ANON-0000-0000-0053,24,Espresso
13/03/2024,4:47:09 PM,card,ANON-0000-0000-0054,24,Espresso
14/03/2024,10:02:12 AM,cash,,40,Latte
14/03/2024,10:28:33 AM,card,ANON-0000-0000-0055,38.7,Latte
14/03/2024,10:29:34 AM,card,ANON-0000-0000-0055,38.7,Hot Chocolate
14/03/2024,1:27:30 PM,card,ANON-0000-0000-0012,28.9,Cortado
14/03/2024,1:28:25 PM,card,ANON-0000-0000-0012,28.9,Americano
14/03/2024,1:52:00 PM,card,ANON-0000-0000-0056,33.8,Americano with Milk
14/03/2024,1:52:56 PM,card,ANON-0000-0000-0057,24,Espresso
14/03/2024,3:20:38 PM,card,ANON-0000-0000-0058,38.7,Latte
14/03/2024,4:04:10 PM,card,ANON-0000-0000-0059,33.8,Americano with Milk
14/03/2024,4:54:38 PM,card,ANON-0000-0000-0050,24,Espresso
14/03/2024,6:58:56 PM,card,ANON-0000-0000-0019,38.7,Hot Chocolate
14/03/2024,7:00:09 PM,card,ANON-0000-0000-0012,28.9,Cortado
15/03/2024,10:02:17 AM,cash,,40,Latte
15/03/2024,10:53:02 AM,card,ANON-0000-0000-0060,38.7,Hot Chocolate
15/03/2024,6:19:28 PM,card,ANON-0000-0000-0012,28.9,Americano
16/03/2024,12:06:55 PM,card,ANON-0000-0000-0061,33.8,Americano with Milk
16/03/2024,12:07:54 PM,card,ANON-0000-0000-0061,28.9,Americano
16/03/2024,3:58:18 PM,card,ANON-0000-0000-0009,28.9,Cortado
16/03/2024,4:03:22 PM,card,ANON-0000-0000-0009,28.9,Cortado
16/03/2024,4:04:11 PM,card,ANON-0000-0000-0012,28.9,Cortado
16/03/2024,5:58:07 PM,card,ANON-0000-0000-0062,33.8,Americano with Milk
17/03/2024,10:10:21 AM,cash,,40,Latte
17/03/2024,12:55:26 PM,card,ANON-0000-0000-0063,28.9,Cortado
18/03/2024,11:18:00 AM,card,ANON-0000-0000-0064,28.9,Cortado
18/03/2024,3:31:40 PM,card,ANON-0000-0000-0003,28.9,Americano
18/03/2024,3:32:38 PM,card,ANON-0000-0000-0003,28.9,Americano
18/03/2024,3:33:37 PM,card,ANON-0000-0000-0003,28.9,Americano
19/03/2024,10:20:26 AM,cash,,30,Cortado
19/03/2024,2:02:22 PM,card,ANON-0000-0000-0065,38.7,Latte
19/03/2024,2:03:20 PM,card,ANON-0000-0000-0065,38.7,Latte
19/03/2024,3:04:36 PM,card,ANON-0000-0000-0049,38.7,Hot Chocolate
19/03/2024,4:53:49 PM,card,ANON-0000-0000-0066,33.8,Americano with Milk
19/03/2024,7:26:33 PM,cash,,40,Hot Chocolate
20/03/2024,11:41:16 AM,card,ANON-0000-0000-0012,28.9,Cortado
20/03/2024,12:21:08 PM,cash,,40,Latte
20/03/2024,12:30:49 PM,card,ANON-0000-0000-0049,28.9,Cortado
20/03/2024,1:16:47 PM,card,ANON-0000-0000-0067,38.7,Cappuccino
20/03/2024,4:42:38 PM,card,ANON-0000-0000-0050,38.7,Cocoa
20/03/2024,5:50:29 PM,card,ANON-0000-0000-0068,38.7,Latte
21/03/2024,10:18:57 AM,cash,,40,Cappuccino
21/03/2024,12:25:09 PM,card,ANON-0000-0000-0012,28.9,Cortado
21/03/2024,12:26:17 PM,card,ANON-0000-0000-0012,38.7,Cappuccino
21/03/2024,5:21:01 PM,cash,,30,Americano
21/03/2024,5:22:01 PM,card,ANON-0000-0000-0012,28.9,Cortado
21/03/2024,7:20:37 PM,card,ANON-0000-0000-0069,38.7,Latte
22/03/2024,10:35:54 AM,card,ANON-0000-0000-0070,33.8,Americano with Milk
22/03/2024,1:29:20 PM,card,ANON-0000-0000-0071,33.8,Americano with Milk
22/03/2024,4:15:14 PM,cash,,40,Cappuccino
22/03/2024,5:17:04 PM,card,ANON-0000-0000-0012,28.9,Americano
22/03/2024,5:17:59 PM,card,ANON-0000-0000-0012,24,Espresso
22/03/2024,5:20:49 PM,card,ANON-0000-0000-0050,28.9,Americano
23/03/2024,10:44:00 AM,card,ANON-0000-0000-0072,38.7,Latte
23/03/2024,10:45:07 AM,card,ANON-0000-0000-0073,33.8,Americano with Milk
23/03/2024,1:10:08 PM,card,ANON-0000-0000-0074,38.7,Cappuccino
23/03/2024,1:11:12 PM,card,ANON-0000-0000-0074,38.7,Cocoa
23/03/2024,2:44:41 PM,card,ANON-0000-0000-0075,33.8,Americano with Milk
23/03/2024,3:47:19 PM,card,ANON-0000-0000-0076,38.7,Latte
23/03/2024,3:49:34 PM,card,ANON-0000-0000-0076,33.8,Americano with Milk
23/03/2024,4:00:58 PM,card,ANON-0000-0000-0009,28.9,Cortado
24/03/2024,10:03:56 AM,cash,,40,Latte
24/03/2024,6:45:08 PM,card,ANON-0000-0000-0077,38.7,Latte
25/03/2024,10:31:47 AM,card,ANON-0000-0000-0009,38.7,Latte
25/03/2024,11:16:26 AM,cash,,35,Americano with Milk
25/03/2024,2:27:09 PM,card,ANON-0000-0000-0078,38.7,Latte
25/03/2024,2:29:25 PM,card,ANON-0000-0000-0017,38.7,Latte
25/03/2024,6:37:31 PM,card,ANON-0000-0000-0024,33.8,Americano with Milk
25/03/2024,7:34:25 PM,card,ANON-0000-0000-0079,38.7,Cappuccino
26/03/2024,10:35:50 AM,card,ANON-0000-0000-0055,38.7,Cocoa
26/03/2024,10:36:36 AM,card,ANON-0000-0000-0055,38.7,Latte
26/03/2024,10:42:30 AM,card,ANON-0000-0000-0080,38.7,Latte
26/03/2024,11:11:47 AM,card,ANON-0000-0000-0009,28.9,Cortado
26/03/2024,1:35:53 PM,card,ANON-0000-0000-0003,28.9,Americano
26/03/2024,1:36:50 PM,card,ANON-0000-0000-0032,28.9,Cortado
26/03/2024,1:38:00 PM,card,ANON-0000-0000-0059,28.9,Cortado
26/03/2024,1:57:54 PM,card,ANON-0000-0000-0050,28.9,Americano
26/03/2024,3:48:02 PM,card,ANON-0000-0000-0081,38.7,Latte
26/03/2024,6:33:39 PM,card,ANON-0000-0000-0024,38.7,Latte
26/03/2024,6:34:55 PM,card,ANON-0000-0000-0009,38.7,Hot Chocolate
27/03/2024,11:04:51 AM,card,ANON-0000-0000-0003,28.9,Cortado
27/03/2024,11:05:58 AM,card,ANON-0000-0000-0003,33.8,Americano with Milk
27/03/2024,12:57:00 PM,card,ANON-0000-0000-0082,33.8,Americano with Milk
27/03/2024,1:35:20 PM,card,ANON-0000-0000-0083,38.7,Hot Chocolate
27/03/2024,2:22:32 PM,card,ANON-0000-0000-0012,38.7,Cappuccino
27/03/2024,2:23:35 PM,card,ANON-0000-0000-0012,28.9,Americano
27/03/2024,6:30:12 PM,card,ANON-0000-0000-0084,28.9,Cortado
27/03/2024,7:31:12 PM,cash,,40,Latte
28/03/2024,2:24:47 PM,card,ANON-0000-0000-0085,28.9,Cortado
28/03/2024,5:24:46 PM,card,ANON-0000-0000-0012,28.9,Cortado
28/03/2024,5:27:05 PM,card,ANON-0000-0000-0012,28.9,Americano
28/03/2024,5:32:45 PM,card,ANON-0000-0000-0086,38.7,Latte
29/03/2024,10:56:19 AM,card,ANON-0000-0000-0087,38.7,Latte
29/03/2024,12:34:17 PM,card,ANON-0000-0000-0088,38.7,Cappuccino
29/03/2024,12:41:32 PM,card,ANON-0000-0000-0088,38.7,Cappuccino
29/03/2024,1:22:45 PM,cash,,40,Cappuccino
30/03/2024,11:59:20 AM,card,ANON-0000-0000-0069,38.7,Latte
30/03/2024,1:49:26 PM,cash,,40,Cappuccino
30/03/2024,4:12:32 PM,card,ANON-0000-0000-0017,38.7,Latte
30/03/2024,4:36:41 PM,card,ANON-0000-0000-0009,38.7,Latte
30/03/2024,4:37:58 PM,card,ANON-0000-0000-0009,33.8,Americano with Milk
31/03/2024,10:40:05 AM,card,ANON-0000-0000-0089,38.7,Cappuccino
31/03/2024,7:36:45 PM,cash,,30,Americano
01/04/2024,10:28:48 AM,card,ANON-0000-0000-0004,28.9,Americano
01/04/2024,10:29:42 AM,card,ANON-0000-0000-0004,33.8,Americano with Milk
01/04/2024,10:30:44 AM,card,ANON-0000-0000-0004,33.8,Americano with Milk
01/04/2024,11:15:44 AM,card,ANON-0000-0000-0009,33.8,Americano with Milk
01/04/2024,5:01:43 PM,cash,,40,Cappuccino
01/04/2024,6:18:42 PM,card,ANON-0000-0000-0024,33.8,Americano with Milk
01/04/2024,6:45:27 PM,card,ANON-0000-0000-0090,38.7,Hot Chocolate
02/04/2024,10:01:14 AM,card,ANON-0000-0000-0001,38.7,Latte
02/04/2024,4:18:34 PM,card,ANON-0000-0000-0003,28.9,Americano
02/04/2024,4:19:28 PM,card,ANON-0000-0000-0003,28.9,Cortado
02/04/2024,7:59:32 PM,cash,,40,Cappuccino
03/04/2024,10:19:14 AM,card,ANON-0000-0000-0003,28.9,Cortado
03/04/2024,10:20:08 AM,card,ANON-0000-0000-0003,28.9,Americano
03/04/2024,1:12:05 PM,card,ANON-0000-0000-0012,38.7,Cappuccino
03/04/2024,3:36:12 PM,cash,,30,Cortado
04/04/2024,10:44:56 AM,card,ANON-0000-0000-0091,38.7,Latte
04/04/2024,11:26:38 AM,card,ANON-0000-0000-0092,38.7,Latte
04/04/2024,11:27:48 AM,card,ANON-0000-0000-0093,38.7,Cappuccino
04/04/2024,12:23:02 PM,card,ANON-0000-0000-0094,28.9,Cortado
04/04/2024,7:42:08 PM,cash,,40,Latte
05/04/2024,10:40:43 AM,card,ANON-0000-0000-0095,28.9,Americano
05/04/2024,10:42:06 AM,card,ANON-0000-0000-0012,28.9,Americano
05/04/2024,11:06:15 AM,card,ANON-0000-0000-0096,28.9,Cortado
05/04/2024,12:14:28 PM,card,ANON-0000-0000-0097,33.8,Americano with Milk
05/04/2024,2:23:40 PM,card,ANON-0000-0000-0098,38.7,Latte
05/04/2024,2:24:50 PM,card,ANON-0000-0000-0098,28.9,Cortado
05/04/2024,3:30:50 PM,cash,,40,Latte
05/04/2024,3:54:16 PM,cash,,40,Cappuccino
05/04/2024,3:55:31 PM,cash,,30,Americano
05/04/2024,4:17:44 PM,cash,,40,Cocoa
05/04/2024,4:18:24 PM,card,ANON-0000-0000-0003,24,Espresso
06/04/2024,12:32:31 PM,card,ANON-0000-0000-0099,33.8,Americano with Milk
06/04/2024,2:13:19 PM,card,ANON-0000-0000-0040,38.7,Cappuccino
06/04/2024,2:14:27 PM,card,ANON-0000-0000-0040,28.9,Americano
06/04/2024,2:49:50 PM,card,ANON-0000-0000-0009,38.7,Latte
07/04/2024,10:12:53 AM,card,ANON-0000-0000-0091,38.7,Latte
07/04/2024,12:44:32 PM,card,ANON-0000-0000-0040,38.7,Cappuccino
07/04/2024,12:46:05 PM,card,ANON-0000-0000-0040,38.7,Cappuccino
07/04/2024,2:16:25 PM,card,ANON-0000-0000-0100,28.9,Cortado
07/04/2024,2:17:31 PM,card,ANON-0000-0000-0100,24,Espresso
07/04/2024,6:01:17 PM,card,ANON-0000-0000-0101,38.7,Hot Chocolate
07/04/2024,6:02:04 PM,card,ANON-0000-0000-0101,33.8,Americano with Milk
08/04/2024,10:58:21 AM,card,ANON-0000-0000-0102,33.8,Americano with Milk
08/04/2024,10:59:28 AM,card,ANON-0000-0000-0103,38.7,Cappuccino
08/04/2024,11:01:20 AM,card,ANON-0000-0000-0012,28.9,Americano
08/04/2024,11:04:47 AM,card,ANON-0000-0000-0104,38.7,Cappuccino
08/04/2024,12:54:26 PM,cash,,25,Espresso
08/04/2024,3:43:37 PM,cash,,35,Americano with Milk
08/04/2024,4:41:38 PM,card,ANON-0000-0000-0017,38.7,Latte
08/04/2024,6:18:10 PM,card,ANON-0000-0000-0105,28.9,Americano
08/04/2024,7:22:27 PM,card,ANON-0000-0000-0024,33.8,Americano with Milk
08/04/2024,7:23:59 PM,card,ANON-0000-0000-0106,38.7,Cappuccino
09/04/2024,10:22:27 AM,cash,,40,Cappuccino
09/04/2024,10:24:10 AM,cash,,30,Americano
09/04/2024,11:42:28 AM,card,ANON-0000-0000-0091,38.7,Latte
09/04/2024,3:11:49 PM,card,ANON-0000-0000-0107,38.7,Hot Chocolate
09/04/2024,5:25:24 PM,card,ANON-0000-0000-0049,38.7,Hot Chocolate
10/04/2024,10:21:26 AM,cash,,25,Espresso
10/04/2024,5:55:07 PM,cash,,40,Hot Chocolate
10/04/2024,5:55:31 PM,card,ANON-0000-0000-0108,24,Espresso
10/04/2024,6:24:59 PM,card,ANON-0000-0000-0009,38.7,Cappuccino
10/04/2024,8:04:05 PM,card,ANON-0000-0000-0109,38.7,Latte
11/04/2024,10:41:23 AM,card,ANON-0000-0000-0110,28.9,Americano
11/04/2024,10:42:59 AM,card,ANON-0000-0000-0110,28.9,Americano
11/04/2024,4:35:23 PM,card,ANON-0000-0000-0017,38.7,Latte
11/04/2024,7:16:57 PM,card,ANON-0000-0000-0106,38.7,Cappuccino
11/04/2024,7:18:37 PM,card,ANON-0000-0000-0024,33.8,Americano with Milk
12/04/2024,7:03:43 PM,card,ANON-0000-0000-0019,38.7,Hot Chocolate
12/04/2024,7:38:23 PM,card,ANON-0000-0000-0009,28.9,Cortado
13/04/2024,12:29:20 PM,card,ANON-0000-0000-0009,38.7,Latte
13/04/2024,12:43:02 PM,card,ANON-0000-0000-0012,28.9,Americano
13/04/2024,3:06:52 PM,cash,,40,Hot Chocolate
13/04/2024,3:07:56 PM,cash,,40,Hot Chocolate
13/04/2024,4:18:04 PM,card,ANON-0000-0000-0111,38.7,Cappuccino
13/04/2024,4:19:40 PM,card,ANON-0000-0000-0111,38.7,Latte
13/04/2024,5:51:26 PM,card,ANON-0000-0000-0112,38.7,Cappuccino
13/04/2024,5:53:19 PM,card,ANON-0000-0000-0012,38.7,Cappuccino
14/04/2024,10:55:27 AM,cash,,40,Latte
14/04/2024,12:24:39 PM,card,ANON-0000-0000-0113,38.7,Cappuccino
14/04/2024,12:27:09 PM,cash,,30,Cortado
14/04/2024,12:29:07 PM,cash,,30,Cortado
14/04/2024,12:31:36 PM,cash,,35,Americano with Milk
14/04/2024,1:21:50 PM,card,ANON-0000-0000-0114,28.9,Cortado
14/04/2024,2:23:32 PM,card,ANON-0000-0000-0012,28.9,Americano
14/04/2024,2:24:27 PM,card,ANON-0000-0000-0012,28.9,Americano
14/04/2024,2:25:18 PM,card,ANON-0000-0000-0012,28.9,Americano
14/04/2024,3:46:28 PM,card,ANON-0000-0000-0017,38.7,Cappuccino
14/04/2024,4:59:55 PM,card,ANON-0000-0000-0012,28.9,Cortado
14/04/2024,5:00:45 PM,card,ANON-0000-0000-0019,38.7,Latte
14/04/2024,6:38:20 PM,card,ANON-0000-0000-0115,38.7,Cappuccino
15/04/2024,11:45:25 AM,card,ANON-0000-0000-0064,28.9,Americano
15/04/2024,5:01:46 PM,card,ANON-0000-0000-0003,28.9,Americano
15/04/2024,5:02:50 PM,card,ANON-0000-0000-0004,33.8,Americano with Milk
15/04/2024,7:33:03 PM,card,ANON-0000-0000-0009,33.8,Americano with Milk
15/04/2024,7:41:58 PM,cash,,25,Espresso
16/04/2024,10:43:50 AM,cash,,35,Americano with Milk
16/04/2024,10:46:26 AM,card,ANON-0000-0000-0116,33.8,Americano with Milk
16/04/2024,12:40:48 PM,card,ANON-0000-0000-0117,38.7,Cocoa
16/04/2024,12:52:08 PM,card,ANON-0000-0000-0064,28.9,Cortado
16/04/2024,3:03:17 PM,card,ANON-0000-0000-0118,28.9,Americano
16/04/2024,5:42:04 PM,card,ANON-0000-0000-0024,33.8,Americano with Milk
16/04/2024,5:43:23 PM,card,ANON-0000-0000-0009,38.7,Cappuccino
16/04/2024,6:09:05 PM,card,ANON-0000-0000-0050,38.7,Cocoa
17/04/2024,1:33:00 PM,card,ANON-0000-0000-0012,28.9,Americano
17/04/2024,1:44:00 PM,card,ANON-0000-0000-0119,24,Espresso
17/04/2024,4:13:24 PM,cash,,40,Cappuccino
17/04/2024,5:01:35 PM,card,ANON-0000-0000-0120,38.7,Cappuccino
17/04/2024,5:02:41 PM,card,ANON-0000-0000-0120,38.7,Cappuccino
17/04/2024,6:14:03 PM,card,ANON-0000-0000-0121,28.9,Cortado
18/04/2024,11:19:02 AM,card,ANON-0000-0000-0003,28.9,Americano
18/04/2024,11:20:06 AM,card,ANON-0000-0000-0003,28.9,Americano
18/04/2024,1:49:13 PM,card,ANON-0000-0000-0122,33.8,Americano with Milk
18/04/2024,1:50:17 PM,card,ANON-0000-0000-0122,28.9,Cortado
18/04/2024,2:34:20 PM,card,ANON-0000-0000-0123,38.7,Cappuccino
18/04/2024,2:35:49 PM,card,ANON-0000-0000-0123,38.7,Latte
18/04/2024,5:44:16 PM,card,ANON-0000-0000-0069,38.7,Latte
18/04/2024,6:21:06 PM,card,ANON-0000-0000-0085,38.7,Cappuccino
18/04/2024,7:39:51 PM,card,ANON-0000-0000-0024,38.7,Hot Chocolate
18/04/2024,7:40:49 PM,card,ANON-0000-0000-0009,38.7,Hot Chocolate
19/04/2024,10:10:36 AM,card,ANON-0000-0000-0001,38.7,Latte
19/04/2024,1:11:48 PM,card,ANON-0000-0000-0040,33.8,Americano with Milk
19/04/2024,1:13:21 PM,card,ANON-0000-0000-0040,38.7,Cappuccino
19/04/2024,1:58:54 PM,card,ANON-0000-0000-0124,38.7,Hot Chocolate
19/04/2024,1:59:50 PM,card,ANON-0000-0000-0124,38.7,Cappuccino
19/04/2024,6:23:19 PM,card,ANON-0000-0000-0024,38.7,Cocoa
19/04/2024,6:25:33 PM,card,ANON-0000-0000-0009,33.8,Americano with Milk
20/04/2024,11:24:43 AM,cash,,35,Americano with Milk
20/04/2024,12:08:36 PM,card,ANON-0000-0000-0125,33.8,Americano with Milk
20/04/2024,12:09:43 PM,card,ANON-0000-0000-0125,33.8,Americano with Milk
20/04/2024,1:08:37 PM,card,ANON-0000-0000-0118,28.9,Americano
20/04/2024,1:09:48 PM,card,ANON-0000-0000-0118,33.8,Americano with Milk
20/04/2024,1:10:55 PM,card,ANON-0000-0000-0118,38.7,Hot Chocolate
20/04/2024,2:44:18 PM,card,ANON-0000-0000-0040,38.7,Cappuccino
20/04/2024,3:11:00 PM,card,ANON-0000-0000-0009,33.8,Americano with Milk
20/04/2024,3:22:41 PM,card,ANON-0000-0000-0012,32.82,Americano with Milk
20/04/2024,3:49:25 PM,card,ANON-0000-0000-0126,32.82,Americano with Milk
20/04/2024,5:07:58 PM,cash,,39,Cocoa
20/04/2024,6:27:41 PM,card,ANON-0000-0000-0127,37.72,Cappuccino
20/04/2024,6:28:47 PM,card,ANON-0000-0000-0127,37.72,Cappuccino
20/04/2024,7:30:55 PM,card,ANON-0000-0000-0128,37.72,Latte
21/04/2024,11:16:46 AM,card,ANON-0000-0000-0001,37.72,Latte
21/04/2024,2:15:38 PM,card,ANON-0000-0000-0099,27.92,Americano
21/04/2024,5:09:03 PM,cash,,39,Cappuccino
22/04/2024,11:09:16 AM,card,ANON-0000-0000-0012,27.92,Americano
22/04/2024,11:29:27 AM,card,ANON-0000-0000-0129,32.82,Americano with Milk
22/04/2024,6:40:33 PM,cash,,39,Latte
22/04/2024,7:39:05 PM,card,ANON-0000-0000-0009,37.72,Latte
22/04/2024,8:02:29 PM,cash,,39,Cappuccino
23/04/2024,2:22:36 PM,card,ANON-0000-0000-0025,37.72,Cappuccino
23/04/2024,2:23:53 PM,card,ANON-0000-0000-0024,32.82,Americano with Milk
23/04/2024,2:24:58 PM,card,ANON-0000-0000-0009,37.72,Cappuccino
23/04/2024,7:42:28 PM,card,ANON-0000-0000-0130,32.82,Americano with Milk
23/04/2024,7:43:26 PM,card,ANON-0000-0000-0130,32.82,Americano with Milk
24/04/2024,10:19:38 AM,card,ANON-0000-0000-0001,37.72,Latte
